Country,State,Year,Gender,Type Of Classes,"Gross Enrolment Ratio (Ger) (UOM:Ratio), Scaling Factor:1"
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),24.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),30.6
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),66.3
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),78
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),26.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),68.4
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),18.1
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),22.5
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),60.9
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),80.6
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),31.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),71.2
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),21.7
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),26.9
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),63.8
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),134.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),42.7
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-X (6-15 Years),115.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes XI-XII (16-17  Years),11.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-XII (14-17  Years),27.6
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-XII (6-17 Years),99
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-VIII (6-13 Years),131.6
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-X (14-15 Years),39
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-X (6-15 Years),112.4
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes XI-XII (16-17  Years),9.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes IX-XII (14-17  Years),24.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Girls,Classes I-XII (6-17 Years),95.5
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-VIII (6-13 Years),132.8
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-X (14-15 Years),40.9
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-X (6-15 Years),114
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes XI-XII (16-17  Years),10.1
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes IX-XII (14-17  Years),26
India,Jharkhand,"Calendar Year (Jan - Dec), 2013",Total,Classes I-XII (6-17 Years),97.3
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes I-VIII (6-13 Years),106.7
India,Karnataka,"Calendar Year (Jan - Dec), 2013",Boys,Classes IX-X (14-15 Years),73.3
