state,year,gender,gender_key,employment_indicator,employment_indicator_key,employment_indicator_value_per_1000
Uttar Pradesh,2013,Male,male,Labour force participation rate (LFPR),lfpr,583.0
Uttar Pradesh,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Uttar Pradesh,2013,Male,male,Worker population ratio (WPR),wpr,583.0
Uttarakhand,2013,Male,male,Labour force participation rate (LFPR),lfpr,505.0
Uttarakhand,2013,Male,male,Proportion Unemployed (PU),pu,0.0
Uttarakhand,2013,Male,male,Worker population ratio (WPR),wpr,505.0
West Bengal,2013,Male,male,Labour force participation rate (LFPR),lfpr,621.0
West Bengal,2013,Male,male,Proportion Unemployed (PU),pu,12.0
West Bengal,2013,Male,male,Worker population ratio (WPR),wpr,609.0
Andaman and Nicobar Islands,2013,Person,person,Labour force participation rate (LFPR),lfpr,406.0
Andaman and Nicobar Islands,2013,Person,person,Proportion Unemployed (PU),pu,23.0
Andaman and Nicobar Islands,2013,Person,person,Worker population ratio (WPR),wpr,383.0
Andhra Pradesh,2013,Person,person,Labour force participation rate (LFPR),lfpr,566.0
Andhra Pradesh,2013,Person,person,Proportion Unemployed (PU),pu,1.0
Andhra Pradesh,2013,Person,person,Worker population ratio (WPR),wpr,565.0
Arunachal Pradesh,2013,Person,person,Labour force participation rate (LFPR),lfpr,392.0
Arunachal Pradesh,2013,Person,person,Proportion Unemployed (PU),pu,7.0
Arunachal Pradesh,2013,Person,person,Worker population ratio (WPR),wpr,385.0
Assam,2013,Person,person,Labour force participation rate (LFPR),lfpr,404.0
Assam,2013,Person,person,Proportion Unemployed (PU),pu,18.0
Assam,2013,Person,person,Worker population ratio (WPR),wpr,386.0
Bihar,2013,Person,person,Labour force participation rate (LFPR),lfpr,313.0
Bihar,2013,Person,person,Proportion Unemployed (PU),pu,10.0
Bihar,2013,Person,person,Worker population ratio (WPR),wpr,303.0
Chandigarh,2013,Person,person,Labour force participation rate (LFPR),lfpr,
Chandigarh,2013,Person,person,Proportion Unemployed (PU),pu,
Chandigarh,2013,Person,person,Worker population ratio (WPR),wpr,
Chhattisgarh,2013,Person,person,Labour force participation rate (LFPR),lfpr,456.0
Chhattisgarh,2013,Person,person,Proportion Unemployed (PU),pu,0.0
Chhattisgarh,2013,Person,person,Worker population ratio (WPR),wpr,455.0
Dadra and Nagar Haveli,2013,Person,person,Labour force participation rate (LFPR),lfpr,336.0
Dadra and Nagar Haveli,2013,Person,person,Proportion Unemployed (PU),pu,16.0
Dadra and Nagar Haveli,2013,Person,person,Worker population ratio (WPR),wpr,320.0
Daman and Diu,2013,Person,person,Labour force participation rate (LFPR),lfpr,435.0
Daman and Diu,2013,Person,person,Proportion Unemployed (PU),pu,24.0
Daman and Diu,2013,Person,person,Worker population ratio (WPR),wpr,411.0
Delhi,2013,Person,person,Labour force participation rate (LFPR),lfpr,477.0
Delhi,2013,Person,person,Proportion Unemployed (PU),pu,0.0
Delhi,2013,Person,person,Worker population ratio (WPR),wpr,477.0
Goa,2013,Person,person,Labour force participation rate (LFPR),lfpr,377.0
Goa,2013,Person,person,Proportion Unemployed (PU),pu,15.0
Goa,2013,Person,person,Worker population ratio (WPR),wpr,362.0
Gujarat,2013,Person,person,Labour force participation rate (LFPR),lfpr,473.0
Gujarat,2013,Person,person,Proportion Unemployed (PU),pu,8.0
Gujarat,2013,Person,person,Worker population ratio (WPR),wpr,465.0
Haryana,2013,Person,person,Labour force participation rate (LFPR),lfpr,447.0
Haryana,2013,Person,person,Proportion Unemployed (PU),pu,18.0
Haryana,2013,Person,person,Worker population ratio (WPR),wpr,429.0
Himachal Pradesh,2013,Person,person,Labour force participation rate (LFPR),lfpr,509.0
Himachal Pradesh,2013,Person,person,Proportion Unemployed (PU),pu,12.0
Himachal Pradesh,2013,Person,person,Worker population ratio (WPR),wpr,497.0
Jammu and Kashmir,2013,Person,person,Labour force participation rate (LFPR),lfpr,620.0
Jammu and Kashmir,2013,Person,person,Proportion Unemployed (PU),pu,0.0
